instancia,aps_regioes,aps_pontos,tempo_regioes_s,tempo_pontos_s,pontos_alta_demanda,pontos_livres,pontos_obstaculos
image027_gt_2,39,587,timeout,timeout,1538,2651,5126
image028_gt_2,30,160,timeout,timeout,1571,1321,4827
image029_gt_3,39,402,timeout,timeout,1622,2543,5150
image030_gt_2,29,117,timeout,timeout,1201,1608,4993
p1_gt_5,12,944,30.09,timeout,325,619,496
p2_gt_3,13,1014,37.93,timeout,341,673,537
p3_gt_3,20,1234,83.16,timeout,882,352,794
p4_gt_3,17,1313,148.54,timeout,953,360,807
sec_type_1_1120_gf,34,1020,timeout,timeout,424,903,8669
sec_type_1_1200_ms_gf,26,1412,258.70,timeout,436,991,8569
sec_type_1_1200_ms_sf,19,942,48.03,timeout,33,919,9044
sec_type_1_1200_prac_ff_002,22,48,33.04,timeout,156,668,9172
sec_type_1_1200_prac_gf_004,32,1141,490.88,timeout,436,990,8570
sec_type_1_1200_prac_sf,16,16,36.32,92.42,29,659,9308
sec_type_1_1850_ff_001,26,1344,552.76,timeout,189,1156,8651
sec_type_1_1850_gf_001,32,1862,timeout,timeout,465,1397,8134
sec_type_1_1850_sf,23,1228,541.38,timeout,104,1124,8768
sec_type_3_600_sf_001,15,649,153.76,timeout,17,776,9203
superblock_1200_gf,27,1143,timeout,timeout,452,839,8705
